FlightNumber,Airline,Origin,OriginAirport,Destination,DestinationAirport,ScheduledDeparture,ScheduledArrival,Terminal,Gate,DepartureDelay,ArrivalDelay,FlightStatus
FH410,Freebird Airlines,CPH,Kastrup,AYT,Antalya,2026-07-25T18:50:00+00:00,2026-07-25T23:18:00+00:00,,,,,scheduled
AM7815,Aeromexico,CPH,Kastrup,CDG,Charles De Gaulle,2026-07-25T18:45:00+00:00,2026-07-25T20:45:00+00:00,3,B9,,,scheduled
AF4582,Air France,CPH,Kastrup,CDG,Charles De Gaulle,2026-07-25T18:45:00+00:00,2026-07-25T20:45:00+00:00,3,B9,,,scheduled
SQ2023,Singapore Airlines,CPH,Kastrup,FRA,Frankfurt International Airport,2026-07-25T18:40:00+00:00,2026-07-25T20:10:00+00:00,2,,,10.0,scheduled
EY3767,Etihad Airways,CPH,Kastrup,FRA,Frankfurt International Airport,2026-07-25T18:40:00+00:00,2026-07-25T20:10:00+00:00,2,,,10.0,scheduled
ET1562,Ethiopian Airlines,CPH,Kastrup,FRA,Frankfurt International Airport,2026-07-25T18:40:00+00:00,2026-07-25T20:10:00+00:00,2,,,10.0,scheduled
AI8575,Air India,CPH,Kastrup,FRA,Frankfurt International Airport,2026-07-25T18:40:00+00:00,2026-07-25T20:10:00+00:00,2,,,10.0,scheduled
FR6968,Ryanair,CPH,Kastrup,MAN,Manchester Airport,2026-07-25T21:50:00+00:00,2026-07-25T22:50:00+00:00,2,,,,scheduled
VY1873,Vueling,CPH,Kastrup,BCN,El Prat De Llobregat,2026-07-25T21:45:00+00:00,2026-07-26T00:50:00+00:00,2,,,,scheduled
SK1472,SAS,CPH,Kastrup,OSL,Gardermoen,2026-07-25T21:25:00+00:00,2026-07-25T22:35:00+00:00,3,,,,scheduled
SK1410,SAS,CPH,Kastrup,ARN,Arlanda,2026-07-25T21:25:00+00:00,2026-07-25T22:35:00+00:00,3,,,,scheduled
DY3646,Norwegian,CPH,Kastrup,NCE,Cote D'azur International Airport,2026-07-25T18:40:00+00:00,2026-07-25T21:00:00+00:00,2,146-,,10.0,scheduled
WX2657,CityJet,CPH,Kastrup,MUC,Franz Josef Strauss,2026-07-25T18:10:00+00:00,2026-07-25T19:45:00+00:00,3,1-38,,13.0,scheduled
UU8851,Air Austral,CPH,Kastrup,CDG,Charles De Gaulle,2026-07-25T18:00:00+00:00,2026-07-25T20:00:00+00:00,2,102-,,11.0,scheduled
SK9824,SAS,CPH,Kastrup,CDG,Charles De Gaulle,2026-07-25T18:00:00+00:00,2026-07-25T20:00:00+00:00,2,102-,,11.0,scheduled
MK9617,Air Mauritius,CPH,Kastrup,CDG,Charles De Gaulle,2026-07-25T18:00:00+00:00,2026-07-25T20:00:00+00:00,2,102-,,11.0,scheduled
KQ3193,Kenya Airways,CPH,Kastrup,CDG,Charles De Gaulle,2026-07-25T18:00:00+00:00,2026-07-25T20:00:00+00:00,2,102-,,11.0,scheduled
G35255,GOL,CPH,Kastrup,CDG,Charles De Gaulle,2026-07-25T18:00:00+00:00,2026-07-25T20:00:00+00:00,2,102-,,11.0,scheduled
AM5782,Aeromexico,CPH,Kastrup,CDG,Charles De Gaulle,2026-07-25T18:00:00+00:00,2026-07-25T20:00:00+00:00,2,102-,,11.0,scheduled
SK8909,SAS,CPH,Kastrup,LIS,Lisbon Portela,2026-07-25T17:40:00+00:00,2026-07-25T20:40:00+00:00,2,,,10.0,scheduled
S48249,Azores Airlines,CPH,Kastrup,LIS,Lisbon Portela,2026-07-25T17:40:00+00:00,2026-07-25T20:40:00+00:00,2,,,10.0,scheduled
FI6409,Icelandair,CPH,Kastrup,LIS,Lisbon Portela,2026-07-25T17:40:00+00:00,2026-07-25T20:40:00+00:00,2,,,10.0,scheduled
AY6759,Finnair,CPH,Kastrup,LIS,Lisbon Portela,2026-07-25T17:40:00+00:00,2026-07-25T20:40:00+00:00,2,,,10.0,scheduled
LY9768,El Al,CPH,Kastrup,FCO,Leonardo Da Vinci (Fiumicino),2026-07-25T17:20:00+00:00,2026-07-25T19:55:00+00:00,3,A18,,11.0,scheduled
AM7810,Aeromexico,CPH,Kastrup,FCO,Leonardo Da Vinci (Fiumicino),2026-07-25T17:20:00+00:00,2026-07-25T19:55:00+00:00,3,A18,,11.0,scheduled
TP8357,TAP Air Portugal,CPH,Kastrup,HEL,Helsinki-vantaa,2026-07-25T17:00:00+00:00,2026-07-25T19:35:00+00:00,2,122-,,15.0,scheduled
QR6786,Qatar Airways,CPH,Kastrup,HEL,Helsinki-vantaa,2026-07-25T17:00:00+00:00,2026-07-25T19:35:00+00:00,2,122-,,15.0,scheduled
TF1679,BRA,CPH,Kastrup,BER,Berlin Brandenburg Airport,2026-07-25T21:00:00+00:00,2026-07-25T22:00:00+00:00,3,1-38,,,scheduled
OU5557,Croatia Airlines,CPH,Kastrup,VIE,Vienna International,2026-07-25T20:00:00+00:00,2026-07-25T21:40:00+00:00,2,102-,,,scheduled
TP6414,TAP Air Portugal,CPH,Kastrup,RIX,Riga International,2026-07-25T20:30:00+00:00,2026-07-25T22:55:00+00:00,2,102-,,,scheduled
LY8032,El Al,CPH,Kastrup,RIX,Riga International,2026-07-25T20:30:00+00:00,2026-07-25T22:55:00+00:00,2,102-,,,scheduled
EY3947,Etihad Airways,CPH,Kastrup,GOT,Landvetter,2026-07-25T14:05:00+00:00,2026-07-25T14:55:00+00:00,3,B8,,,landed
DY3782,Norwegian,CPH,Kastrup,BOJ,Bourgas,2026-07-25T18:45:00+00:00,2026-07-25T22:25:00+00:00,2,146-,,,scheduled
JL6884,Japan Airlines,CPH,Kastrup,HEL,Helsinki-vantaa,2026-07-25T17:00:00+00:00,2026-07-25T19:35:00+00:00,2,122-,,15.0,scheduled
FI7360,Icelandair,CPH,Kastrup,HEL,Helsinki-vantaa,2026-07-25T17:00:00+00:00,2026-07-25T19:35:00+00:00,2,122-,,15.0,scheduled
DY3666,Norwegian,CPH,Kastrup,PMI,Son Sant Joan Airport,2026-07-25T17:10:00+00:00,2026-07-25T20:10:00+00:00,2,146-,,,scheduled
SK2651,SAS,CPH,Kastrup,GOA,Cristoforo Colombo,2026-07-25T17:05:00+00:00,2026-07-25T19:20:00+00:00,3,1-38,,,scheduled
DY5715,Norwegian,CPH,Kastrup,LPA,Gran Canaria,2026-07-25T17:05:00+00:00,2026-07-25T21:30:00+00:00,2,146-,,,scheduled
RO9290,Tarom,CPH,Kastrup,AMS,Schiphol,2026-07-25T16:40:00+00:00,2026-07-25T18:10:00+00:00,3,E5,,11.0,scheduled
KL2855,KLM,CPH,Kastrup,AMS,Schiphol,2026-07-25T16:40:00+00:00,2026-07-25T18:10:00+00:00,3,E5,,11.0,scheduled
AM7824,Aeromexico,CPH,Kastrup,AMS,Schiphol,2026-07-25T16:40:00+00:00,2026-07-25T18:10:00+00:00,3,E5,,11.0,scheduled
